Depth,Temperature,Salinity
0,-1.8715375848244877,34.24697762859798
-1,-1.8715375848244877,34.24697762859798
-2,-1.8715375848244877,34.24697762859798
-3,-1.8715375848244877,34.24697762859798
-4,-1.8715375848244877,34.24697762859798
-5,-1.8715375848244877,34.24697762859798
-6,-1.8715375848244877,34.24697762859798
-7,-1.8715375848244877,34.24697762859798
-8,-1.8715375848244877,34.24697762859798
-9,-1.8715375848244877,34.24697762859798
-10,-1.8715375848244877,34.24697762859798
-11,-1.8715375848244877,34.24697762859798
-12,-1.8715375848244877,34.24697762859798
-13,-1.8715375848244877,34.24697762859798
-14,-1.8715375848244877,34.24697762859798
-15,-1.8715375848244877,34.24697762859798
-16,-1.8715375848244877,34.24697762859798
-17,-1.8715375848244877,34.24697762859798
-18,-1.8715375848244877,34.24697762859798
-19,-1.8715375848244877,34.24697762859798
-20,-1.8715375848244877,34.24697762859798
-21,-1.8715375848244877,34.24697762859798
-22,-1.8715375848244877,34.24697762859798
-23,-1.8715375848244877,34.24697762859798
-24,-1.8715375848244877,34.24697762859798
-25,-1.8715375848244877,34.24697762859798
-26,-1.8715375848244877,34.24697762859798
-27,-1.8715375848244877,34.24697762859798
-28,-1.8715375848244877,34.24697762859798
-29,-1.8715375848244877,34.24697762859798
-30,-1.8715375848244877,34.24697762859798
-31,-1.8715375848244877,34.24697762859798
-32,-1.8715375848244877,34.24697762859798
-33,-1.8715375848244877,34.24697762859798
-34,-1.8715375848244877,34.24697762859798
-35,-1.8715375848244877,34.24697762859798
-36,-1.8715375848244877,34.24697762859798
-37,-1.8715375848244877,34.24697762859798
-38,-1.8715375848244877,34.24697762859798
-39,-1.8715375848244877,34.24697762859798
-40,-1.8715375848244877,34.24697762859798
-41,-1.8715375848244877,34.24697762859798
-42,-1.8715375848244877,34.24697762859798
-43,-1.8715315321327513,34.24699029235245
-44,-1.8715095512874291,34.24700792692193
-45,-1.8714715782662616,34.24703055544618
-46,-1.8714038157068063,34.24706557217372
-47,-1.8712949846592293,34.24711900987177
-48,-1.8711450230677789,34.24719090005348
-49,-1.8709539306697773,34.24728124660563
-50,-1.8707216463735301,34.24739004942056
-51,-1.870445338648773,34.24751730860099
-52,-1.8701225748566686,34.247663021627844
-53,-1.8697533390368926,34.247827191297795
-54,-1.8693376314983765,34.248009814965314
-55,-1.8688738544996188,34.24821121719144
-56,-1.8682478832215847,34.24845439224919
-57,-1.867362131783461,34.24875900703385
-58,-1.8662166000043234,34.24912506035652
-59,-1.8648112876761054,34.24955255074215
-60,-1.863145434640933,34.250041676278116
-61,-1.861103914042138,34.250622383717634
-62,-1.8585925667141963,34.25131916619756
-63,-1.8556106687014742,34.252132210003786
-64,-1.8521582200593394,34.253061515373965
-65,-1.8482326627896037,34.25410768649357
-66,-1.8436363959360516,34.255317409266326
-67,-1.8382060042605992,34.25672929263832
-68,-1.8319397127956643,34.258343755968745
-69,-1.8248375215412462,34.2601607992576
-70,-1.8168919631152023,34.26218110665482
-71,-1.807703739758269,34.26444151613547
-72,-1.7969348916560648,34.26697317932396
-73,-1.7845824292615802,34.26977637732529
-74,-1.7706463525748164,34.27285111013946
-75,-1.755122695235815,34.276197851055905
-76,-1.7378227888290132,34.27983470114145
-77,-1.718585804416798,34.283777287642415
-78,-1.6974103251648127,34.288025763309925
-79,-1.6742963510730569,34.292580128144
-80,-1.649245475270461,34.29744053636531
-81,-1.6223468455678225,34.30261567570069
-82,-1.5936755361219987,34.308112857483444
-83,-1.5632322796849485,34.31393215388372
-84,-1.5310170762566717,34.320073564901534
-85,-1.4970320432242938,34.326536594357336
-86,-1.461435494622836,34.333283434269006
-87,-1.4243613596514015,34.3402822388141
-88,-1.3858100579664967,34.34753286744426
-89,-1.3457815895681218,34.35503532015948
-90,-1.3042764355295258,34.362789323490624
