2000-00-01 00:00:00 -16.141027584959165
2000-30-01 02:30:00 -14.881086106823147
2000-00-01 05:00:00 -15.257352974452461
2000-30-01 06:30:00 -15.45625559028919
2000-30-01 08:30:00 -15.517695907607973
2000-00-01 11:00:00 -15.219297340834984
2000-30-01 13:30:00 -15.27964829845726
2000-00-01 16:00:00 -15.297459011440257
2000-30-01 18:30:00 -15.508024743483658
2000-00-01 21:00:00 -15.67313689209139
2000-30-01 23:30:00 -15.616171315605051
2000-00-02 02:00:00 -15.62819733510684
2000-30-02 04:30:00 -15.64943743620893
2000-00-02 07:00:00 -15.709524035487405
2000-30-02 09:30:00 -15.717468494510744
2000-00-02 12:00:00 -15.813480599529328
2000-30-02 14:30:00 -16.00773240120712
2000-00-02 17:00:00 -16.05212996923261
2000-30-02 19:30:00 -16.009109384042578
2000-00-02 22:00:00 -16.15701936799965
2000-30-03 00:30:00 -16.048386267411423
2000-00-03 03:00:00 -16.077824362909645
2000-30-03 05:30:00 -16.092150366016703
2000-00-03 08:00:00 -16.24458912406657
2000-30-03 10:30:00 -16.441596952327927
2000-00-03 13:00:00 -16.549197571061534
2000-30-03 15:30:00 -16.62925697204208
2000-00-03 18:00:00 -16.677701166321487
2000-30-03 20:30:00 -16.778867622330772
2000-00-03 23:00:00 -16.62368102988004
2000-30-04 01:30:00 -16.639785399851764
2000-00-04 04:00:00 -17.08409052982967
2000-30-04 06:30:00 -16.78454748588431
2000-00-04 09:00:00 -17.078483654695496
2000-30-04 11:30:00 -17.27218470615636
2000-00-04 14:00:00 -17.39654921952687
2000-30-04 16:30:00 -17.483079426980268
2000-00-04 19:00:00 -17.493989288648173
2000-30-04 21:30:00 -17.603411943817303
2000-00-05 00:00:00 -17.63856237313977
2000-30-05 02:30:00 -17.725116534776813
2000-00-05 05:00:00 -17.955497463879468
2000-30-05 07:30:00 -18.10266392745416
2000-00-05 10:00:00 -18.038108702227127
2000-30-05 12:30:00 -18.232378006129714
2000-00-05 15:00:00 -18.138927841441223
2000-30-05 17:30:00 -18.475952376883175
2000-00-05 20:00:00 -18.659284463926028
2000-30-05 22:30:00 -18.761210723769516
2000-00-06 01:00:00 -18.919425047240903
2000-30-06 03:30:00 -19.093272434178353
2000-00-06 06:00:00 -19.0857160982844
2000-30-06 08:30:00 -19.09412669324972
2000-00-06 11:00:00 -19.32835251304804
2000-30-06 13:30:00 -19.523925822434798
2000-00-06 16:00:00 -19.567368169496852
2000-30-06 18:30:00 -19.67490848151767
2000-00-06 21:00:00 -19.820262905191143
2000-30-06 23:30:00 -20.05812131404398
2000-00-07 02:00:00 -19.930830185446958
2000-30-07 04:30:00 -19.94066466858642
2000-00-07 07:00:00 -20.400083761060536
2000-30-07 09:30:00 -20.654315214945534
2000-00-07 12:00:00 -20.456254779855833
2000-30-07 14:30:00 -20.724931609189543
2000-00-07 17:00:00 -20.98331464296654
2000-30-07 19:30:00 -21.230006606594163
2000-00-07 22:00:00 -21.389536889666
2000-30-08 00:30:00 -21.468326491334192
2000-00-08 03:00:00 -21.632385829106802
2000-30-08 05:30:00 -21.347446241680608
2000-00-08 08:00:00 -21.416709587960103
2000-30-08 10:30:00 -21.52981606305368
2000-00-08 13:00:00 -21.82685142392733
2000-30-08 15:30:00 -22.35369068424843
2000-00-08 18:00:00 -22.757517195782892
2000-30-08 20:30:00 -22.53472514338788
2000-00-08 23:00:00 -22.872246329036376
2000-30-09 01:30:00 -22.79397612135739
2000-00-09 04:00:00 -23.202887606136503
2000-30-09 06:30:00 -23.51220667528116
2000-00-09 09:00:00 -23.668991982366848
2000-30-09 11:30:00 -23.862145746925684
2000-00-09 14:00:00 -23.837403138789114
2000-30-09 16:30:00 -23.82083266786001
2000-00-09 19:00:00 -23.468442830920125
2000-30-09 21:30:00 -24.13951215978441
2000-00-10 00:00:00 -24.8658510499007
2000-30-10 02:30:00 -25.112470782567748
2000-00-10 05:00:00 -25.203544759320323
2000-30-10 07:30:00 -25.44113069415843
2000-00-10 10:00:00 -25.607819208473927
2000-30-10 12:30:00 -25.835865281959688
2000-00-10 15:00:00 -25.6400787401327
2000-30-10 17:30:00 -26.078967400667725
2000-00-10 20:00:00 -26.43896029419408
2000-30-10 22:30:00 -26.48557885583971
2000-00-11 01:00:00 -26.78189468452456
2000-30-11 03:30:00 -26.915521257608162
2000-00-11 06:00:00 -26.994689634911108
2000-30-11 08:30:00 -27.516772115969772
2000-00-11 11:00:00 -27.545066902777705
2000-30-11 13:30:00 -27.626592592233333
2000-00-11 16:00:00 -27.878349152585166
2000-30-11 18:30:00 -28.24843087905449
2000-00-11 21:00:00 -28.16616116159509
2000-30-11 23:30:00 -28.536047895765208
2000-00-12 02:00:00 -28.905919899674288
2000-30-12 04:30:00 -28.70869709458242
2000-00-12 07:00:00 -29.355501416655787
2000-30-12 09:30:00 -29.497541703243378
2000-00-12 12:00:00 -29.550453138558886
2000-30-12 14:30:00 -29.757107026344954
2000-00-12 17:00:00 -30.0714824132271
2000-30-12 19:30:00 -30.32502577207282
2000-00-12 22:00:00 -30.368450392330324
2000-30-13 00:30:00 -30.674255820854405
2000-00-13 03:00:00 -31.087468648979524
2000-30-13 05:30:00 -31.154994557665432
2000-00-13 08:00:00 -31.23568538448105
2000-30-13 10:30:00 -31.693348294723723
2000-00-13 13:00:00 -31.918448588502756
2000-30-13 15:30:00 -32.210038921820335
2000-00-13 18:00:00 -32.10773173200785
2000-30-13 20:30:00 -32.65969385735583
2000-00-13 23:00:00 -32.70155041737564
2000-30-14 01:30:00 -32.86024217796889
